Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,sex,SRA Study,tissue,alignment_software,AssemblyName
SRR2859100,WGS,201,227381805,PRJNA279205,SAMN03452922,Model organism or animal,163347940,STANFORD UNIVERSITY,01-Sep-2010,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",adult,wild,SRX1397438,USA,North America,USA: Virginia,Illumina HiSeq 2000,A_19_1,Virginia.A_19_1 aligned,PAIRED,size fractionation,GENOMIC,227,155,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067899,A_19_1,female,SRP063680,whole,bwa,assembly
SRR2859101,WGS,201,84838687,PRJNA279205,SAMN03452828,Model organism or animal,80341764,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",adult,wild,SRX1397439,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_2_1,Pennsylvania.A_2_1 aligned,PAIRED,size fractionation,GENOMIC,84,76,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067992,A_2_1,female,SRP063680,whole,bwa,assembly
SRR2859102,WGS,201,156484451,PRJNA279205,SAMN03452837,Model organism or animal,123149830,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",adult,wild,SRX1397440,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_20_1,Pennsylvania.A_20_1 aligned,PAIRED,size fractionation,GENOMIC,156,117,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067983,A_20_1,female,SRP063680,whole,bwa,assembly
SRR2859103,WGS,201,119455528,PRJNA279205,SAMN03452923,Model organism or animal,100505498,STANFORD UNIVERSITY,01-Sep-2010,public,sra,"ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",adult,wild,SRX1397441,USA,North America,USA: Virginia,Illumina HiSeq 2000,A_21_1,Virginia.A_21_1 aligned,PAIRED,size fractionation,GENOMIC,119,95,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067896,A_21_1,female,SRP063680,whole,bwa,assembly
SRR2859104,WGS,201,190131894,PRJNA279205,SAMN03452838,Model organism or animal,143213432,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,wild,SRX1397442,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_22_1,Pennsylvania.A_22_1 aligned,PAIRED,size fractionation,GENOMIC,190,136,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067982,A_22_1,female,SRP063680,whole,bwa,assembly
SRR2859105,WGS,201,1444742279,PRJNA279205,SAMN03452924,Model organism or animal,879688316,STANFORD UNIVERSITY,01-Sep-2010,public,sra,"gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,wild,SRX1397443,USA,North America,USA: Virginia,Illumina HiSeq 2000,A_23_1,Virginia.A_23_1 aligned,PAIRED,size fractionation,GENOMIC,1444,838,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067897,A_23_1,female,SRP063680,whole,bwa,assembly
SRR2859106,WGS,201,209618329,PRJNA279205,SAMN03452839,Model organism or animal,153608469,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",adult,wild,SRX1397444,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_24_1,Pennsylvania.A_24_1 aligned,PAIRED,size fractionation,GENOMIC,209,146,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067981,A_24_1,female,SRP063680,whole,bwa,assembly
SRR2859107,WGS,201,212612171,PRJNA279205,SAMN03452879,Model organism or animal,153516627,STANFORD UNIVERSITY,01-Aug-2011,public,sra,"ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",adult,wild,SRX1397445,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_3_1,Pennsylvania.A_3_1 aligned,PAIRED,size fractionation,GENOMIC,212,146,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067941,A_3_1,female,SRP063680,whole,bwa,assembly
SRR2859108,WGS,201,121997698,PRJNA279205,SAMN03452829,Model organism or animal,109325613,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",adult,wild,SRX1397446,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_4_1,Pennsylvania.A_4_1 aligned,PAIRED,size fractionation,GENOMIC,121,104,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067991,A_4_1,female,SRP063680,whole,bwa,assembly
SRR2859109,WGS,201,115339374,PRJNA279205,SAMN03452880,Model organism or animal,98383947,STANFORD UNIVERSITY,01-Aug-2011,public,sra,"s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",adult,wild,SRX1397447,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_5_1,Pennsylvania.A_5_1 aligned,PAIRED,size fractionation,GENOMIC,115,93,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067940,A_5_1,female,SRP063680,whole,bwa,assembly
SRR2859110,WGS,201,137106995,PRJNA279205,SAMN03452830,Model organism or animal,107968498,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",adult,wild,SRX1397448,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_6_1,Pennsylvania.A_6_1 aligned,PAIRED,size fractionation,GENOMIC,137,102,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067990,A_6_1,female,SRP063680,whole,bwa,assembly
SRR2859111,WGS,201,68379222,PRJNA279205,SAMN03452881,Model organism or animal,70938730,STANFORD UNIVERSITY,01-Aug-2011,public,sra,"s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,wild,SRX1397449,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_7_1,Pennsylvania.A_7_1 aligned,PAIRED,size fractionation,GENOMIC,68,67,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067939,A_7_1,female,SRP063680,whole,bwa,assembly
SRR2859112,WGS,201,133360602,PRJNA279205,SAMN03452831,Model organism or animal,110488148,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",adult,wild,SRX1397450,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_8_1,Pennsylvania.A_8_1 aligned,PAIRED,size fractionation,GENOMIC,133,105,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067989,A_8_1,female,SRP063680,whole,bwa,assembly
SRR2859113,WGS,201,152458288,PRJNA279205,SAMN03452882,Model organism or animal,120339401,STANFORD UNIVERSITY,01-Aug-2011,public,sra,"s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,wild,SRX1397451,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_9_1,Pennsylvania.A_9_1 aligned,PAIRED,size fractionation,GENOMIC,152,114,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067937,A_9_1,female,SRP063680,whole,bwa,assembly
SRR2859114,WGS,201,432749145,PRJNA279205,SAMN03452749,Model organism or animal,276747695,STANFORD UNIVERSITY,01-Oct-2011,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",adult,wild,SRX1397452,USA,North America,USA: Maine,Illumina HiSeq 2000,B_1_1,Maine.B_1_1 aligned,PAIRED,size fractionation,GENOMIC,432,263,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1068071,B_1_1,female,SRP063680,whole,bwa,assembly
SRR2859115,WGS,201,426778429,PRJNA279205,SAMN03452754,Model organism or animal,276785177,STANFORD UNIVERSITY,01-Oct-2011,public,sra,"gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,wild,SRX1397453,USA,North America,USA: Maine,Illumina HiSeq 2000,B_11_1,Maine.B_11_1 aligned,PAIRED,size fractionation,GENOMIC,426,263,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1068066,B_11_1,female,SRP063680,whole,bwa,assembly
SRR2859116,WGS,201,385296719,PRJNA279205,SAMN03452755,Model organism or animal,246959980,STANFORD UNIVERSITY,01-Oct-2011,public,sra,"gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,wild,SRX1397454,USA,North America,USA: Maine,Illumina HiSeq 2000,B_13_1,Maine.B_13_1 aligned,PAIRED,size fractionation,GENOMIC,385,235,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1068065,B_13_1,female,SRP063680,whole,bwa,assembly
SRR2859117,WGS,201,705151801,PRJNA279205,SAMN03452756,Model organism or animal,439093014,STANFORD UNIVERSITY,01-Oct-2011,public,sra,"ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",adult,wild,SRX1397455,USA,North America,USA: Maine,Illumina HiSeq 2000,B_15_1,Maine.B_15_1 aligned,PAIRED,size fractionation,GENOMIC,705,418,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1068064,B_15_1,female,SRP063680,whole,bwa,assembly
SRR2859118,WGS,201,450199622,PRJNA279205,SAMN03452757,Model organism or animal,287655531,STANFORD UNIVERSITY,01-Oct-2011,public,sra,"ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",adult,wild,SRX1397456,USA,North America,USA: Maine,Illumina HiSeq 2000,B_17_1,Maine.B_17_1 aligned,PAIRED,size fractionation,GENOMIC,450,274,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1068063,B_17_1,female,SRP063680,whole,bwa,assembly
SRR2859119,WGS,201,472923612,PRJNA279205,SAMN03452758,Model organism or animal,303866636,STANFORD UNIVERSITY,01-Oct-2011,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,wild,SRX1397457,USA,North America,USA: Maine,Illumina HiSeq 2000,B_19_1,Maine.B_19_1 aligned,PAIRED,size fractionation,GENOMIC,472,289,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1068062,B_19_1,female,SRP063680,whole,bwa,assembly
SRR2859120,WGS,201,247421518,PRJNA279205,SAMN03452759,Model organism or animal,173459575,STANFORD UNIVERSITY,01-Oct-2011,public,sra,"s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,wild,SRX1397458,USA,North America,USA: Maine,Illumina HiSeq 2000,B_21_1,Maine.B_21_1 aligned,PAIRED,size fractionation,GENOMIC,247,165,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1068061,B_21_1,female,SRP063680,whole,bwa,assembly
SRR2859121,WGS,201,759179428,PRJNA279205,SAMN03452760,Model organism or animal,472483283,STANFORD UNIVERSITY,01-Oct-2011,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",adult,wild,SRX1397459,USA,North America,USA: Maine,Illumina HiSeq 2000,B_23_1,Maine.B_23_1 aligned,PAIRED,size fractionation,GENOMIC,759,450,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1068060,B_23_1,female,SRP063680,whole,bwa,assembly
SRR2859122,WGS,201,495371771,PRJNA279205,SAMN03452750,Model organism or animal,317958816,STANFORD UNIVERSITY,01-Oct-2011,public,sra,"gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",adult,wild,SRX1397460,USA,North America,USA: Maine,Illumina HiSeq 2000,B_3_1,Maine.B_3_1 aligned,PAIRED,size fractionation,GENOMIC,495,303,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1068070,B_3_1,female,SRP063680,whole,bwa,assembly
SRR2859123,WGS,201,174639302,PRJNA279205,SAMN03452751,Model organism or animal,129946582,STANFORD UNIVERSITY,01-Oct-2011,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",adult,wild,SRX1397461,USA,North America,USA: Maine,Illumina HiSeq 2000,B_5_1,Maine.B_5_1 aligned,PAIRED,size fractionation,GENOMIC,174,123,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1068069,B_5_1,female,SRP063680,whole,bwa,assembly
SRR2859124,WGS,201,441382625,PRJNA279205,SAMN03452752,Model organism or animal,285237441,STANFORD UNIVERSITY,01-Oct-2011,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",adult,wild,SRX1397462,USA,North America,USA: Maine,Illumina HiSeq 2000,B_7_1,Maine.B_7_1 aligned,PAIRED,size fractionation,GENOMIC,441,272,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1068068,B_7_1,female,SRP063680,whole,bwa,assembly
SRR2859125,WGS,201,386870400,PRJNA279205,SAMN03452753,Model organism or animal,254245661,STANFORD UNIVERSITY,01-Oct-2011,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,wild,SRX1397463,USA,North America,USA: Maine,Illumina HiSeq 2000,B_9_1,Maine.B_9_1 aligned,PAIRED,size fractionation,GENOMIC,386,242,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1068067,B_9_1,female,SRP063680,whole,bwa,assembly
SRR2859126,WGS,201,194465299,PRJNA279205,SAMN03452925,Model organism or animal,143482414,STANFORD UNIVERSITY,01-Sep-2010,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,wild,SRX1397464,USA,North America,USA: Virginia,Illumina HiSeq 2000,C_1_1,Virginia.C_1_1 aligned,PAIRED,size fractionation,GENOMIC,194,136,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067895,C_1_1,female,SRP063680,whole,bwa,assembly
SRR2859128,WGS,201,150742298,PRJNA279205,SAMN03452930,Model organism or animal,118192401,STANFORD UNIVERSITY,01-Sep-2010,public,sra,"s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",adult,wild,SRX1397466,USA,North America,USA: Virginia,Illumina HiSeq 2000,C_11_1,Virginia.C_11_1 aligned,PAIRED,size fractionation,GENOMIC,150,112,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067890,C_11_1,female,SRP063680,whole,bwa,assembly
SRR2859129,WGS,201,191712847,PRJNA279205,SAMN03452844,Model organism or animal,144631685,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",adult,wild,SRX1397467,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,C_12_1,Pennsylvania.C_12_1 aligned,PAIRED,size fractionation,GENOMIC,191,137,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067976,C_12_1,female,SRP063680,whole,bwa,assembly
SRR2859130,WGS,201,115267664,PRJNA279205,SAMN03452931,Model organism or animal,96061076,STANFORD UNIVERSITY,01-Sep-2010,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",adult,wild,SRX1397468,USA,North America,USA: Virginia,Illumina HiSeq 2000,C_13_1,Virginia.C_13_1 aligned,PAIRED,size fractionation,GENOMIC,115,91,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067889,C_13_1,female,SRP063680,whole,bwa,assembly
SRR2859132,WGS,201,184820708,PRJNA279205,SAMN03452932,Model organism or animal,138144966,STANFORD UNIVERSITY,01-Sep-2010,public,sra,"ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",adult,wild,SRX1397470,USA,North America,USA: Virginia,Illumina HiSeq 2000,C_15_1,Virginia.C_15_1 aligned,PAIRED,size fractionation,GENOMIC,184,131,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067888,C_15_1,female,SRP063680,whole,bwa,assembly
SRR2859133,WGS,201,428812872,PRJNA279205,SAMN03452846,Model organism or animal,284514644,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",adult,wild,SRX1397471,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,C_16_1,Pennsylvania.C_16_1 aligned,PAIRED,size fractionation,GENOMIC,428,271,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067974,C_16_1,female,SRP063680,whole,bwa,assembly
SRR2859134,WGS,201,335296972,PRJNA279205,SAMN03452933,Model organism or animal,234516772,STANFORD UNIVERSITY,01-Sep-2010,public,sra,"gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,wild,SRX1397472,USA,North America,USA: Virginia,Illumina HiSeq 2000,C_17_1,Virginia.C_17_1 aligned,PAIRED,size fractionation,GENOMIC,335,223,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067887,C_17_1,female,SRP063680,whole,bwa,assembly
SRR2859135,WGS,201,138727540,PRJNA279205,SAMN03452847,Model organism or animal,110312636,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",adult,wild,SRX1397473,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,C_18_1,Pennsylvania.C_18_1 aligned,PAIRED,size fractionation,GENOMIC,138,105,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067973,C_18_1,female,SRP063680,whole,bwa,assembly
SRR2859136,WGS,201,200341681,PRJNA279205,SAMN03452934,Model organism or animal,142828114,STANFORD UNIVERSITY,01-Sep-2010,public,sra,"gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,wild,SRX1397474,USA,North America,USA: Virginia,Illumina HiSeq 2000,C_19_1,Virginia.C_19_1 aligned,PAIRED,size fractionation,GENOMIC,200,136,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067886,C_19_1,female,SRP063680,whole,bwa,assembly
SRR2859137,WGS,201,141304252,PRJNA279205,SAMN03452840,Model organism or animal,113753291,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",adult,wild,SRX1397475,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,C_2_1,Pennsylvania.C_2_1 aligned,PAIRED,size fractionation,GENOMIC,141,108,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067980,C_2_1,female,SRP063680,whole,bwa,assembly
SRR2859138,WGS,201,220576930,PRJNA279205,SAMN03452848,Model organism or animal,156192250,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",adult,wild,SRX1397476,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,C_20_1,Pennsylvania.C_20_1 aligned,PAIRED,size fractionation,GENOMIC,220,148,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067972,C_20_1,female,SRP063680,whole,bwa,assembly
SRR2859139,WGS,201,156264271,PRJNA279205,SAMN03452935,Model organism or animal,121628120,STANFORD UNIVERSITY,01-Sep-2010,public,sra,"s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,wild,SRX1397477,USA,North America,USA: Virginia,Illumina HiSeq 2000,C_21_1,Virginia.C_21_1 aligned,PAIRED,size fractionation,GENOMIC,156,115,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067885,C_21_1,female,SRP063680,whole,bwa,assembly
SRR2859140,WGS,201,216192318,PRJNA279205,SAMN03452849,Model organism or animal,158297495,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,wild,SRX1397478,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,C_22_1,Pennsylvania.C_22_1 aligned,PAIRED,size fractionation,GENOMIC,216,150,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067971,C_22_1,female,SRP063680,whole,bwa,assembly
SRR2859141,WGS,201,11240290,PRJNA279205,SAMN03452936,Model organism or animal,37201128,STANFORD UNIVERSITY,01-Sep-2010,public,sra,"s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,wild,SRX1397479,USA,North America,USA: Virginia,Illumina HiSeq 2000,C_23_1,Virginia.C_23_1 aligned,PAIRED,size fractionation,GENOMIC,11,35,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067884,C_23_1,female,SRP063680,whole,bwa,assembly
SRR2859142,WGS,201,197172705,PRJNA279205,SAMN03452850,Model organism or animal,142056654,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",adult,wild,SRX1397480,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,C_24_1,Pennsylvania.C_24_1 aligned,PAIRED,size fractionation,GENOMIC,197,135,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067970,C_24_1,female,SRP063680,whole,bwa,assembly
SRR2859143,WGS,201,199490756,PRJNA279205,SAMN03452926,Model organism or animal,146487255,STANFORD UNIVERSITY,01-Sep-2010,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,wild,SRX1397481,USA,North America,USA: Virginia,Illumina HiSeq 2000,C_3_1,Virginia.C_3_1 aligned,PAIRED,size fractionation,GENOMIC,199,139,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067894,C_3_1,female,SRP063680,whole,bwa,assembly
