Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Description,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,title
ERR2860949,Dsim_Fl_Base_7,WGS,200,2957666000,PRJEB29281,SAMEA5044023,1986956658,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 7,ERC000011,2019-02-08,2018-11-16,ERX2867192,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044023,ERS2855757,ERS2855757,ERP111575,Dsim_Fl_Base_7
ERR2860951,Dsim_Fl_Base_9,WGS,200,4556163200,PRJEB29281,SAMEA5044025,3061656181,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 9,ERC000011,2019-02-08,2018-11-16,ERX2867194,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044025,ERS2855759,ERS2855759,ERP111575,Dsim_Fl_Base_9
ERR2860953,Dsim_Fl_Base_2,WGS,200,2715823000,PRJEB29281,SAMEA5044020,1819955604,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 2,ERC000011,2019-02-08,2018-11-16,ERX2867196,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044020,ERS2855754,ERS2855754,ERP111575,Dsim_Fl_Base_2
ERR2860954,Dsim_Fl_Base_4,WGS,200,2836147000,PRJEB29281,SAMEA5044021,1903490074,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 4,ERC000011,2019-02-08,2018-11-16,ERX2867197,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044021,ERS2855755,ERS2855755,ERP111575,Dsim_Fl_Base_4
ERR2860955,Dsim_Fl_Base_6,WGS,200,3127447600,PRJEB29281,SAMEA5044022,2087668847,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 6,ERC000011,2019-02-08,2018-11-16,ERX2867198,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044022,ERS2855756,ERS2855756,ERP111575,Dsim_Fl_Base_6
ERR2860956,Dsim_Fl_Base_7,WGS,200,2955134200,PRJEB29281,SAMEA5044023,1977982221,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 7,ERC000011,2019-02-08,2018-11-16,ERX2867199,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044023,ERS2855757,ERS2855757,ERP111575,Dsim_Fl_Base_7
ERR2860958,Dsim_Fl_Base_9,WGS,200,4544674800,PRJEB29281,SAMEA5044025,3043043549,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 9,ERC000011,2019-02-08,2018-11-16,ERX2867201,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044025,ERS2855759,ERS2855759,ERP111575,Dsim_Fl_Base_9
ERR2860961,Dsim_Fl_Base_4,WGS,200,2835308200,PRJEB29281,SAMEA5044021,1913147432,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 4,ERC000011,2019-02-08,2018-11-16,ERX2867204,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044021,ERS2855755,ERS2855755,ERP111575,Dsim_Fl_Base_4
ERR2860962,Dsim_Fl_Base_6,WGS,200,3148014000,PRJEB29281,SAMEA5044022,2112485373,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 6,ERC000011,2019-02-08,2018-11-16,ERX2867205,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044022,ERS2855756,ERS2855756,ERP111575,Dsim_Fl_Base_6
ERR2860963,Dsim_Fl_Base_7,WGS,200,2955396000,PRJEB29281,SAMEA5044023,1988589471,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 7,ERC000011,2019-02-08,2018-11-16,ERX2867206,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044023,ERS2855757,ERS2855757,ERP111575,Dsim_Fl_Base_7
ERR2860965,Dsim_Fl_Base_9,WGS,200,4570437000,PRJEB29281,SAMEA5044025,3076245718,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 9,ERC000011,2019-02-08,2018-11-16,ERX2867208,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044025,ERS2855759,ERS2855759,ERP111575,Dsim_Fl_Base_9
ERR2860967,Dsim_Fl_Base_2,WGS,200,2704649200,PRJEB29281,SAMEA5044020,1817162717,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 2,ERC000011,2019-02-08,2018-11-16,ERX2867210,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044020,ERS2855754,ERS2855754,ERP111575,Dsim_Fl_Base_2
ERR2860968,Dsim_Fl_Base_4,WGS,200,2827309000,PRJEB29281,SAMEA5044021,1902275143,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 4,ERC000011,2019-02-08,2018-11-16,ERX2867211,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044021,ERS2855755,ERS2855755,ERP111575,Dsim_Fl_Base_4
ERR2860969,Dsim_Fl_Base_6,WGS,200,3103132000,PRJEB29281,SAMEA5044022,2075883350,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 6,ERC000011,2019-02-08,2018-11-16,ERX2867212,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044022,ERS2855756,ERS2855756,ERP111575,Dsim_Fl_Base_6
ERR2860970,Dsim_Fl_Base_7,WGS,200,2942893600,PRJEB29281,SAMEA5044023,1974212451,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 7,ERC000011,2019-02-08,2018-11-16,ERX2867213,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044023,ERS2855757,ERS2855757,ERP111575,Dsim_Fl_Base_7
ERR2860972,Dsim_Fl_Base_9,WGS,200,4517703200,PRJEB29281,SAMEA5044025,3032148378,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 9,ERC000011,2019-02-08,2018-11-16,ERX2867215,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044025,ERS2855759,ERS2855759,ERP111575,Dsim_Fl_Base_9
ERR2860975,Dsim_Fl_Base_4,WGS,200,2944633800,PRJEB29281,SAMEA5044021,1997392503,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 4,ERC000011,2019-02-08,2018-11-16,ERX2867218,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044021,ERS2855755,ERS2855755,ERP111575,Dsim_Fl_Base_4
ERR2860976,Dsim_Fl_Base_6,WGS,200,3232002600,PRJEB29281,SAMEA5044022,2180374050,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 6,ERC000011,2019-02-08,2018-11-16,ERX2867219,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044022,ERS2855756,ERS2855756,ERP111575,Dsim_Fl_Base_6
ERR2860977,Dsim_Fl_Base_7,WGS,200,3062489000,PRJEB29281,SAMEA5044023,2071120043,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 7,ERC000011,2019-02-08,2018-11-16,ERX2867220,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044023,ERS2855757,ERS2855757,ERP111575,Dsim_Fl_Base_7
ERR2860979,Dsim_Fl_Base_9,WGS,200,4704601200,PRJEB29281,SAMEA5044025,3184239624,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 9,ERC000011,2019-02-08,2018-11-16,ERX2867222,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044025,ERS2855759,ERS2855759,ERP111575,Dsim_Fl_Base_9
ERR2860981,Dsim_Fl_Base_2,WGS,200,2757608000,PRJEB29281,SAMEA5044020,1884616101,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 2,ERC000011,2019-02-08,2018-11-16,ERX2867224,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044020,ERS2855754,ERS2855754,ERP111575,Dsim_Fl_Base_2
ERR2860982,Dsim_Fl_Base_4,WGS,200,2879843400,PRJEB29281,SAMEA5044021,1971142976,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 4,ERC000011,2019-02-08,2018-11-16,ERX2867225,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044021,ERS2855755,ERS2855755,ERP111575,Dsim_Fl_Base_4
ERR2860983,Dsim_Fl_Base_6,WGS,200,3158563800,PRJEB29281,SAMEA5044022,2149095957,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 6,ERC000011,2019-02-08,2018-11-16,ERX2867226,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044022,ERS2855756,ERS2855756,ERP111575,Dsim_Fl_Base_6
